action_taken,date,employee_id,client_profile_id
Edit,2022-01-30,1,1
Terminated,2022-01-31,1,151
Closed,2022-02-01,1,301
Expired,2022-02-02,1,451
Edit,2022-02-03,1,2
Terminated,2022-02-04,1,152
Closed,2022-02-05,1,302
Expired,2022-02-06,1,452
Edit,2022-02-07,1,3
Terminated,2022-02-08,1,153
Closed,2022-02-09,1,303
Expired,2022-02-10,1,453
Edit,2022-02-11,1,4
Terminated,2022-02-12,1,154
Closed,2022-02-13,1,304
Expired,2022-02-14,1,454
Edit,2022-02-15,1,5
Terminated,2022-02-16,1,155
Closed,2022-02-17,1,305
Expired,2022-02-18,1,455
Edit,2022-02-19,4,6
Terminated,2022-02-20,4,156
Closed,2022-02-21,4,306
Expired,2022-02-22,4,456
Edit,2022-02-23,4,7
Terminated,2022-02-24,4,157
Closed,2022-02-25,4,307
Expired,2022-02-26,4,457
Edit,2022-02-27,4,8
Terminated,2022-02-28,4,158
Closed,2022-03-01,4,308
Expired,2022-03-02,4,458
Edit,2022-03-03,4,9
Terminated,2022-03-04,4,159
Closed,2022-03-05,4,309
Expired,2022-03-06,4,459
Edit,2022-03-07,4,10
Terminated,2022-03-08,4,160
Closed,2022-03-09,4,310
Expired,2022-03-10,4,460
Edit,2022-03-11,7,11
Terminated,2022-03-12,7,161
Closed,2022-03-13,7,311
Expired,2022-03-14,7,461
Edit,2022-03-15,7,12
Terminated,2022-03-16,7,162
Closed,2022-03-17,7,312
Expired,2022-03-18,7,462
Edit,2022-03-19,7,13
Terminated,2022-03-20,7,163
Closed,2022-03-21,7,313
Expired,2022-03-22,7,463
